scan_id,frame_index,sequence_id,scan_chunk,environment_type,object_count_total,object_count_human,object_count_forklift,object_count_pallet,object_count_vehicle_platform,nearest_object_distance_m,nearest_human_distance_m,average_obstacle_distance_m,obstacle_density,left_clearance_m,right_clearance_m,front_clearance_m,free_space_ratio,clutter_score,occlusion_proxy,bbox_volume_mean,bbox_volume_max,object_speed_proxy,path_blockage_score,congestion_score,future_window_observed_frames,future_min_nearest_object_distance_m,future_min_front_clearance_m,future_max_path_blockage_score,future_max_congestion_score,future_max_object_count_forklift,unsafe_clearance_label,congestion_risk_label,obstacle_proximity_risk,future_outcome_severity_score,risk_level,risk_label,split
000000,0,warehouse_main,warehouse_main_chunk_0000,warehouse_aisle,1,0,1,0,0,3.614,25.0,3.614,0.0521,1.8175,1.6634,3.038,0.6042,0.3112,0.0,18.5365,18.5365,0.0,0.1975,0.2948,10,3.6912,2.9308,0.3161,0.311,1.0,1,0,0.6957,0.3994,0,0,train
000001,1,warehouse_main,warehouse_main_chunk_0000,warehouse_aisle,1,0,1,0,0,3.6912,25.0,3.6912,0.0521,2.27,1.55,2.9308,0.5833,0.3485,0.0,18.5365,18.5365,0.5231,0.2046,0.311,10,3.7415,3.2566,0.3161,0.3093,1.0,1,0,0.6763,0.333,0,0,train
000002,2,warehouse_main,warehouse_main_chunk_0000,warehouse_aisle,1,0,1,0,0,3.7415,25.0,3.7415,0.0521,2.4541,2.4045,3.4187,0.625,0.4124,0.0,18.5365,18.5365,0.3788,0.1721,0.2943,10,3.8332,3.1006,0.3433,0.3318,1.0,1,0,0.6411,0.3669,0,0,train
000003,3,warehouse_main,warehouse_main_chunk_0000,warehouse_aisle,1,0,1,0,0,3.8332,25.0,3.8332,0.0521,2.47,2.3545,3.502,0.6562,0.4406,0.0,18.5365,18.5365,0.2329,0.1665,0.2901,10,3.4838,2.953,0.3531,0.3318,1.0,1,1,0.7755,0.4639,1,1,train
000004,4,warehouse_main,warehouse_main_chunk_0000,warehouse_aisle,1,0,1,0,0,3.9866,25.0,3.9866,0.0521,2.4885,2.2926,3.5539,0.7083,0.4127,0.0,18.5365,18.5365,0.3684,0.1631,0.2719,10,3.1113,2.953,0.3531,0.3318,1.0,1,1,0.9187,0.5068,1,1,train
000005,5,warehouse_main,warehouse_main_chunk_0000,warehouse_aisle,1,0,1,0,0,4.1823,25.0,4.1823,0.0521,2.506,2.2724,3.2566,0.7083,0.3314,0.0,18.5365,18.5365,0.4415,0.1829,0.2685,10,2.3431,2.953,0.3531,0.3318,1.0,1,1,1.0,0.5312,1,1,train
000006,6,warehouse_main,warehouse_main_chunk_0000,warehouse_aisle,1,0,1,0,0,4.4301,25.0,4.4301,0.0521,2.6705,2.0784,3.5072,0.7604,0.2928,0.0,18.5365,18.5365,0.4632,0.1662,0.2395,10,2.3431,2.953,0.3531,0.3318,1.0,1,1,1.0,0.5312,1,1,train
000007,7,warehouse_main,warehouse_main_chunk_0000,warehouse_aisle,1,0,1,0,0,4.6943,25.0,4.6943,0.0521,2.6357,1.8922,3.5126,0.7812,0.2411,0.0,18.5365,18.5365,0.3596,0.1658,0.2248,10,2.3431,2.953,0.3531,0.3318,1.0,1,1,1.0,0.5312,1,1,train
000008,8,warehouse_main,warehouse_main_chunk_0000,warehouse_aisle,1,0,1,0,0,4.9873,25.0,4.9873,0.0521,2.6561,2.3266,3.4706,0.7604,0.2573,0.0,18.5365,18.5365,1.3844,0.1686,0.234,10,2.3431,2.953,0.3531,0.3318,1.0,1,1,1.0,0.5312,1,1,train
000009,9,warehouse_main,warehouse_main_chunk_0000,warehouse_aisle,1,0,1,0,0,5.0452,25.0,5.0452,0.0521,2.6717,2.3133,3.4852,0.7708,0.2731,0.0,18.5365,18.5365,1.0229,0.1677,0.2344,10,2.3431,2.953,0.3531,0.3318,1.0,1,1,1.0,0.5312,1,1,train
000010,10,warehouse_main,warehouse_main_chunk_0000,warehouse_aisle,1,0,1,0,0,4.7678,25.0,4.7678,0.0521,2.6367,2.3374,3.5084,0.6354,0.3583,0.0,18.5365,18.5365,1.9309,0.3161,0.3001,10,2.3431,2.953,0.3531,0.3318,1.0,1,1,1.0,0.5312,1,1,train
000011,11,warehouse_main,warehouse_main_chunk_0000,warehouse_aisle,1,0,1,0,0,4.4919,25.0,4.4919,0.0521,2.6268,2.4517,3.5539,0.6562,0.4354,0.0,18.5365,18.5365,0.9644,0.3131,0.3093,10,2.3431,2.953,0.3531,0.3318,1.0,1,1,1.0,0.5312,1,1,train
000012,12,warehouse_main,warehouse_main_chunk_0000,warehouse_aisle,1,0,1,0,0,3.9776,25.0,3.9776,0.0521,2.5586,2.3918,3.1006,0.6875,0.4807,0.0,18.5365,18.5365,0.8894,0.3433,0.3318,10,2.3431,2.953,0.3531,0.33,1.0,1,1,1.0,0.5294,1,1,train
000013,13,warehouse_main,warehouse_main_chunk_0000,warehouse_aisle,1,0,1,0,0,3.4838,25.0,3.4838,0.0521,2.4108,1.5596,2.953,0.6875,0.4397,0.0,18.5365,18.5365,0.5166,0.3531,0.33,10,2.3431,2.9558,0.3435,0.2876,1.0,1,1,1.0,0.5,1,1,train
000014,14,warehouse_main,warehouse_main_chunk_0000,warehouse_aisle,1,0,1,0,0,3.1113,25.0,3.1113,0.0521,2.3777,2.1329,3.097,0.7396,0.311,0.0,18.5365,18.5365,0.7068,0.3435,0.2876,10,2.3431,2.9558,0.2029,0.2869,1.0,1,0,1.0,0.3971,0,0,train
000015,15,warehouse_main,warehouse_main_chunk_0000,warehouse_aisle,1,0,1,0,0,2.3431,25.0,2.3431,0.0521,2.5308,10.0,3.1727,0.7188,0.2894,0.0,19.1947,19.1947,5.2399,0.1885,0.2617,10,2.7884,2.9558,0.2029,0.2869,1.0,1,0,1.0,0.3971,0,0,train
000016,16,warehouse_main,warehouse_main_chunk_0000,warehouse_aisle,1,0,1,0,0,2.7884,25.0,2.7884,0.0521,2.1998,10.0,3.1405,0.7083,0.321,0.0,19.1947,19.1947,0.5366,0.1906,0.2714,10,3.1914,2.9558,0.2029,0.2869,1.0,1,0,0.8879,0.3635,0,0,train
000017,17,warehouse_main,warehouse_main_chunk_0000,warehouse_aisle,1,0,1,0,0,3.1914,25.0,3.1914,0.0521,1.3865,1.5875,2.9558,0.6042,0.2541,0.0,19.1947,19.1947,0.5662,0.2029,0.2869,10,3.51,2.9626,0.2025,0.262,1.0,1,0,0.7654,0.3233,0,0,train
000018,18,warehouse_main,warehouse_main_chunk_0000,warehouse_aisle,1,0,1,0,0,3.51,25.0,3.51,0.0521,1.4727,1.9241,2.9626,0.7188,0.2458,0.0,19.1947,19.1947,0.6375,0.2025,0.262,10,3.6858,3.1047,0.193,0.2456,1.0,1,0,0.6978,0.2593,0,0,train
000019,19,warehouse_main,warehouse_main_chunk_0000,warehouse_aisle,1,0,1,0,0,3.6858,25.0,3.6858,0.0521,2.3952,1.8798,3.1279,0.7917,0.2545,0.0,19.1947,19.1947,0.7277,0.1915,0.242,10,3.8245,3.1047,0.193,0.2456,1.0,1,0,0.6444,0.2433,0,0,train
